Number of total reads: 		250000
0.0004	1	Helicobacter pylori 98-10
0.0004	1	Lactobacillus amylovorus GRL 1112
0.0004	1	Providencia rettgeri DSM 1131
0.0004	1	Brucella melitensis ATCC 23457
0.0004	1	Bacillus pumilus ATCC 7061
0.0004	1	Rhizobium leguminosarum bv. trifolii WSM1325
0.0004	1	Burkholderia cenocepacia J2315
0.0004	1	Collinsella stercoris DSM 13279
0.0004	1	Xanthomonas oryzae pv. oryzicola BLS256
0.0004	1	Acidovorax citrulli AAC00-1
0.0004	1	Roseobacter sp. MED193
0.0004	1	Ureaplasma urealyticum serovar 11 str. ATCC 33695
0.0004	1	Escherichia coli TA206
0.0004	1	Fusobacterium sp. 2_1_31
0.0004	1	Streptomyces violaceusniger Tu 4113
0.0004	1	Granulicatella elegans ATCC 700633
0.0004	1	Monodelphis domestica
0.0004	1	Lactobacillus jensenii 208-1
0.0004	1	Rhodobacter sp. SW2
0.0004	1	Truepera radiovictrix DSM 17093
0.0004	1	Syntrophus aciditrophicus SB
0.0004	1	Vibrio cholerae MAK 757
0.0004	1	Escherichia coli 2362-75
0.0004	1	Mannheimia haemolytica serotype A2 str. BOVINE
0.0004	1	Prevotella timonensis CRIS 5C-B1
0.0004	1	Ahrensia sp. R2A130
0.0004	1	Vibrio splendidus 12B01
0.0004	1	Corynebacterium glucuronolyticum ATCC 51867
0.0004	1	Gardnerella vaginalis ATCC 14019
0.0004	1	Streptococcus mitis ATCC 6249
0.0004	1	Campylobacter jejuni subsp. jejuni 81-176
0.0004	1	Actinobacillus pleuropneumoniae serovar 4 str. M62
0.0004	1	Borrelia burgdorferi B31
0.0004	1	Burkholderia sp. H160
0.0004	1	Rhizobium etli CIAT 652
0.0004	1	Pseudomonas syringae pv. phaseolicola 1448A
0.0004	1	Lactobacillus crispatus JV-V01
0.0004	1	Streptococcus pneumoniae CDC3059-06
0.0004	1	Lactococcus lactis
0.0004	1	Cryptosporidium parvum Iowa II
0.0004	1	Vibrio parahaemolyticus AQ4037
0.0004	1	Dermacoccus sp. Ellin185
0.0004	1	Enterococcus faecalis
0.0004	1	Methylobacterium extorquens PA1
0.0004	1	Yersinia rohdei ATCC 43380
0.0004	1	Listeria monocytogenes FSL J2-071
0.0004	1	Vitis vinifera
0.0004	1	Synechococcus sp. JA-3-3Ab
0.0004	1	Xylanimonas cellulosilytica DSM 15894
0.0004	1	Enhydrobacter aerosaccus SK60
0.0004	1	Thalassiosira pseudonana CCMP1335
0.0004	1	Streptomyces sp. e14
0.0004	1	Cyanothece sp. PCC 8802
0.0004	1	Kocuria rhizophila DC2201
0.0004	1	Salinispora arenicola CNS-205
0.0004	1	Chlamydia trachomatis D(s)2923
0.0004	1	Treponema vincentii ATCC 35580
0.0004	1	Listeria monocytogenes 08-5578
0.0004	1	Lactobacillus gasseri ATCC 33323
0.0004	1	Yersinia intermedia ATCC 29909
0.0004	1	Escherichia coli MS 115-1
0.0004	1	Tuber melanosporum Mel28
0.0004	1	Sulfolobus acidocaldarius DSM 639
0.0004	1	Mycobacterium sp. JLS
0.0004	1	Stenotrophomonas maltophilia K279a
0.0004	1	Synechococcus sp. PCC 7002
0.0004	1	Phaseolus vulgaris
0.0004	1	Propionibacterium acnes J139
0.0004	1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
0.0004	1	Kineococcus radiotolerans SRS30216
0.0004	1	Achromobacter piechaudii ATCC 43553
0.0004	1	Anaeromyxobacter sp. K
0.0004	1	Aggregatibacter segnis ATCC 33393
0.0004	1	Lactobacillus casei str. Zhang
0.0004	1	Entamoeba dispar SAW760
0.0004	1	Methylobacterium nodulans ORS 2060
0.0004	1	Micromonospora sp. ATCC 39149
0.0004	1	Dickeya dadantii Ech703
0.0004	1	Ricinus communis
0.0004	1	Burkholderia pseudomallei 668
0.0004	1	Geodermatophilus obscurus DSM 43160
0.0004	1	Prevotella sp. oral taxon 472 str. F0295
0.0004	1	Neisseria flavescens SK114
0.0004	1	Burkholderia mallei NCTC 10229
0.0004	1	Shewanella piezotolerans WP3
0.0004	1	Flavobacteriales bacterium ALC-1
0.0004	1	Yersinia pestis Angola
0.0004	1	Corynebacterium matruchotii ATCC 33806
0.0004	1	Pseudomonas fluorescens WH6
0.0004	1	Bifidobacterium angulatum DSM 20098
0.0004	1	Escherichia coli M605
0.0004	1	Bacillus subtilis subsp. spizizenii str. W23
0.0004	1	Burkholderia pseudomallei 576
0.0004	1	Clostridium perfringens CPE str. F4969
0.0004	1	Escherichia coli MS 196-1
0.0004	1	Brevibacterium linens BL2
0.0004	1	Lactobacillus gasseri MV-22
