Number of total reads: 		250000
0.002	5	Volvox carteri f. nagariensis
0.002	5	Blattabacterium sp. (Periplaneta americana) str. BPLAN
0.002	5	Zygosaccharomyces rouxii CBS 732
0.002	5	Rhodopseudomonas palustris BisA53
0.002	5	Enterococcus faecalis Merz96
0.002	5	Aspergillus fumigatus Af293
0.002	5	Propionibacterium acnes KPA171202
0.002	5	Yarrowia lipolytica CLIB122
0.002	5	Escherichia coli MS 200-1
0.002	5	Burkholderia vietnamiensis G4
0.002	5	Sulfurihydrogenibium sp. YO3AOP1
0.002	5	Capnocytophaga ochracea F0287
0.002	5	Thioalkalivibrio sp. HL-EbGR7
0.002	5	Shewanella baltica OS195
0.002	5	Rothia mucilaginosa DY-18
0.002	5	Tolumonas auensis DSM 9187
0.002	5	Methylobacterium sp. 4-46
0.002	5	Reinekea blandensis MED297
0.002	5	Clostridium sporogenes ATCC 15579
0.002	5	Haemophilus influenzae PittEE
0.002	5	Lactobacillus gasseri 202-4
0.002	5	Methanohalophilus mahii DSM 5219
0.002	5	Kytococcus sedentarius DSM 20547
0.002	5	Nitrococcus mobilis Nb-231
0.002	5	Pan troglodytes
0.002	5	Agrobacterium radiobacter K84
0.002	5	Thermotoga naphthophila RKU-10
0.002	5	Corynebacterium urealyticum DSM 7109
0.002	5	Burkholderia sp. CCGE1003
0.002	5	Lactobacillus amylolyticus DSM 11664
0.002	5	Shigella boydii CDC 3083-94
0.002	5	Micromonospora sp. L5
0.002	5	Bacillus cereus B4264
0.002	5	Meiothermus silvanus DSM 9946
0.002	5	Eremococcus coleocola ACS-139-V-Col8
0.002	5	Lactobacillus reuteri
0.002	5	Flavobacteria bacterium MS024-3C
0.002	5	Dichelobacter nodosus VCS1703A
0.002	5	Mycoplasma mycoides subsp. mycoides SC str. PG1
0.002	5	Photobacterium profundum 3TCK
0.002	5	Shigella sonnei Ss046
0.002	5	Xanthomonas oryzae pv. oryzae KACC10331
0.002	5	Caldicellulosiruptor kristjanssonii 177R1B
0.002	5	Geobacter sp. M18
0.002	5	Synechococcus sp. WH 7803
0.002	5	Algoriphagus sp. PR1
0.002	5	Ralstonia pickettii 12D
0.0016	4	Mycobacterium leprae TN
0.0016	4	Thioalkalivibrio sp. K90mix
0.0016	4	Chlamydophila pneumoniae TW-183
0.0016	4	Streptococcus mitis SK597
0.0016	4	Shigella dysenteriae Sd197
0.0016	4	Jannaschia sp. CCS1
0.0016	4	Listeria monocytogenes serotype 4b str. H7858
0.0016	4	Neptuniibacter caesariensis
0.0016	4	Methanothermobacter marburgensis str. Marburg
0.0016	4	Hemiselmis andersenii
0.0016	4	Veillonella sp. 3_1_44
0.0016	4	Bradyrhizobium sp. ORS278
0.0016	4	Oligotropha carboxidovorans OM5
0.0016	4	Propionibacterium acnes SK187
0.0016	4	Aspergillus nidulans FGSC A4
0.0016	4	Finegoldia magna ATCC 53516
0.0016	4	Actinobacillus pleuropneumoniae serovar 4 str. M62
0.0016	4	Human picobirnavirus
0.0016	4	Halothiobacillus neapolitanus c2
0.0016	4	Burkholderia pseudomallei BCC215
0.0016	4	Sulfurihydrogenibium azorense Az-Fu1
0.0016	4	Afipia sp. 1NLS2
0.0016	4	Enterococcus faecium DO
0.0016	4	Haloterrigena turkmenica DSM 5511
0.0016	4	Corynebacterium efficiens YS-314
0.0016	4	Synechococcus sp. RS9917
0.0016	4	Brugia malayi
0.0016	4	Cyanothece sp. CCY0110
0.0016	4	Rhodobacter sphaeroides KD131
0.0016	4	Erwinia amylovora CFBP1430
0.0016	4	Sphingomonas sp. SKA58
0.0016	4	Herminiimonas arsenicoxydans
0.0016	4	Sinorhizobium fredii NGR234
0.0016	4	Brucella suis bv. 3 str. 686
0.0016	4	Gallionella capsiferriformans ES-2
0.0016	4	Tribolium castaneum
0.0016	4	Streptococcus pneumoniae P1031
0.0016	4	Bartonella quintana str. Toulouse
0.0016	4	Staphylococcus aureus subsp. aureus Mu50-omega
0.0016	4	Micromonospora aurantiaca ATCC 27029
0.0016	4	Sodalis glossinidius str. 'morsitans'
0.0016	4	Bradyrhizobium japonicum USDA 110
0.0016	4	Neisseria flavescens SK114
0.0016	4	Bartonella bacilliformis KC583
0.0016	4	Coraliomargarita akajimensis DSM 45221
0.0016	4	Tsukamurella paurometabola DSM 20162
0.0016	4	Methanococcus vannielii SB
0.0016	4	Streptococcus suis 05HAS68
0.0016	4	Candidatus Poribacteria sp. WGA-A3
0.0016	4	Alteromonas macleodii 'Deep ecotype'
0.0016	4	Burkholderia pseudomallei S13
0.0016	4	Enterobacter cloacae subsp. cloacae ATCC 13047
0.0016	4	Methanocaldococcus sp. FS406-22
0.0016	4	Hirschia baltica ATCC 49814
0.0016	4	Streptococcus dysgalactiae subsp. equisimilis GGS_124
0.0016	4	Lactobacillus amylovorus GRL 1112
0.0016	4	Shewanella oneidensis MR-1
0.0016	4	Cyanothece sp. PCC 7424
0.0016	4	Synechococcus sp. JA-2-3B'a(2-13)
0.0016	4	Yersinia pseudotuberculosis IP 31758
0.0016	4	Rhodobacteraceae bacterium HTCC2083
0.0016	4	Streptococcus mutans NN2025
0.0016	4	Campylobacter curvus 525.92
0.0016	4	Escherichia coli TA206
0.0016	4	Lactobacillus johnsonii FI9785
0.0016	4	Mariprofundus ferrooxydans PV-1
0.0016	4	Escherichia coli MS 69-1
0.0016	4	Lactobacillus gasseri MV-22
0.0016	4	Chlorobaculum parvum NCIB 8327
0.0016	4	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601
0.0016	4	Synechococcus sp. CC9902
0.0016	4	Rhizobium leguminosarum bv. trifolii WSM2304
0.0016	4	Acidithiobacillus ferrooxidans ATCC 23270
0.0016	4	Streptococcus pneumoniae SP11-BS70
0.0016	4	Escherichia coli UTI89
0.0016	4	Rhodopseudomonas palustris BisB18
0.0016	4	Peptoniphilus sp. oral taxon 836 str. F0141
0.0016	4	Micrococcus luteus SK58
0.0016	4	Caenorhabditis remanei
0.0016	4	Leuconostoc mesenteroides subsp. cremoris ATCC 19254
0.0016	4	Rhodobacteraceae bacterium HTCC2150
0.0016	4	Staphylococcus aureus subsp. aureus Mu50
0.0016	4	Achromobacter xylosoxidans A8
0.0016	4	Variovorax paradoxus S110
0.0016	4	Psychroflexus torquis ATCC 700755
0.0016	4	Staphylococcus aureus
0.0016	4	Synechococcus sp. WH 8102
0.0016	4	Neosartorya fischeri NRRL 181
0.0016	4	Prevotella melaninogenica D18
0.0016	4	Porphyra purpurea
0.0016	4	Streptococcus pseudoporcinus SPIN 20026
0.0016	4	Aster yellows witches'-broom phytoplasma AYWB
0.0016	4	Listeria monocytogenes FSL R2-503
0.0016	4	Entamoeba histolytica HM-1:IMSS
0.0016	4	Oceanicola batsensis HTCC2597
0.0016	4	Staphylococcus aureus subsp. aureus MSSA476
0.0016	4	Ktedonobacter racemifer DSM 44963
0.0016	4	Dehalogenimonas lykanthroporepellens BL-DC-9
0.0016	4	Plasmodium vivax SaI-1
0.0016	4	Chloroflexus aggregans DSM 9485
0.0016	4	Reclinomonas americana
0.0016	4	Mobiluncus mulieris 28-1
0.0016	4	Listeria monocytogenes FSL N3-165
0.0016	4	Theileria parva strain Muguga
0.0012	3	Pantoea ananatis LMG 20103
0.0012	3	Lactobacillus rhamnosus Lc 705
0.0012	3	Bordetella petrii DSM 12804
0.0012	3	Bacillus cereus 172560W
0.0012	3	Gemmata obscuriglobus UQM 2246
0.0012	3	Stigeoclonium helveticum
0.0012	3	Xanthomonas oryzae pv. oryzae PXO99A
0.0012	3	Intrasporangium calvum DSM 43043
0.0012	3	Frankia sp. EAN1pec
0.0012	3	Providencia alcalifaciens DSM 30120
0.0012	3	Streptococcus pneumoniae JJA
0.0012	3	Candidatus Blochmannia floridanus
0.0012	3	Candidatus Puniceispirillum marinum IMCC1322
0.0012	3	Streptosporangium roseum DSM 43021
0.0012	3	Streptococcus agalactiae 515
0.0012	3	Lactobacillus brevis subsp. gravesensis ATCC 27305
0.0012	3	Bacillus thuringiensis serovar pulsiensis BGSC 4CC1
0.0012	3	Clostridium botulinum Ba4 str. 657
0.0012	3	Psychromonas ingrahamii 37
0.0012	3	Francisella tularensis subsp. mediasiatica FSC147
0.0012	3	Actinobacillus minor NM305
0.0012	3	Verrucomicrobium spinosum DSM 4136
0.0012	3	Cyanothece sp. PCC 8801
0.0012	3	Clostridium difficile QCD-76w55
0.0012	3	Neisseria sp. oral taxon 014 str. F0314
0.0012	3	Staphylococcus epidermidis SK135
0.0012	3	Thermus aquaticus Y51MC23
0.0012	3	Bacillus cereus biovar anthracis str. CI
0.0012	3	Campylobacter showae RM3277
0.0012	3	Pyrenophora tritici-repentis Pt-1C-BFP
0.0012	3	Finegoldia magna BVS033A4
0.0012	3	Starkeya novella DSM 506
0.0012	3	Shigella dysenteriae 1617
0.0012	3	Lactobacillus rhamnosus HN001
0.0012	3	Prochlorococcus marinus str. MIT 9215
0.0012	3	Methylobacterium radiotolerans JCM 2831
0.0012	3	Methanothermobacter thermautotrophicus str. Delta H
0.0012	3	Pediococcus acidilactici DSM 20284
0.0012	3	Sphingopyxis alaskensis RB2256
0.0012	3	Vibrio shilonii AK1
0.0012	3	Tropheryma whipplei TW08/27
0.0012	3	Prochlorococcus marinus str. NATL2A
0.0012	3	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853
0.0012	3	Lactobacillus casei BL23
0.0012	3	Campylobacter upsaliensis RM3195
0.0012	3	Neisseria meningitidis Z2491
0.0012	3	Methanosphaera stadtmanae DSM 3091
0.0012	3	Methylobacterium extorquens PA1
0.0012	3	Candida albicans SC5314
0.0012	3	Staphylococcus aureus subsp. aureus C160
0.0012	3	Lactobacillus vaginalis ATCC 49540
0.0012	3	Prochlorococcus marinus str. MIT 9301
0.0012	3	Deinococcus deserti VCD115
0.0012	3	Bifidobacterium animalis subsp. lactis AD011
0.0012	3	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
0.0012	3	Rothia dentocariosa ATCC 17931
0.0012	3	Burkholderia pseudomallei 668
0.0012	3	Oscillochloris trichoides DG-6
0.0012	3	Mycoplasma hyopneumoniae J
0.0012	3	Mannheimia haemolytica serotype A2 str. BOVINE
0.0012	3	Buchnera aphidicola str. Bp (Baizongia pistaciae)
0.0012	3	Cupriavidus taiwanensis
0.0012	3	Campylobacter jejuni subsp. jejuni HB93-13
0.0012	3	Staphylococcus aureus subsp. aureus TCH70
0.0012	3	Parvularcula bermudensis HTCC2503
0.0012	3	Bacillus cereus BDRD-ST24
0.0012	3	Shewanella denitrificans OS217
0.0012	3	Thermocrinis albus DSM 14484
0.0012	3	Vibrio splendidus LGP32
0.0012	3	Thermococcus gammatolerans EJ3
0.0012	3	Rickettsia conorii str. Malish 7
0.0012	3	Enterococcus italicus DSM 15952
0.0012	3	Escherichia coli O127:H6 str. E2348/69
0.0012	3	Staphylothermus marinus F1
0.0012	3	Gardnerella vaginalis ATCC 14018
0.0012	3	Sulfuricurvum kujiense DSM 16994
0.0012	3	Xenorhabdus nematophila ATCC 19061
0.0012	3	Xanthomonas axonopodis pv. citri str. 306
0.0012	3	Streptococcus mitis SK564
0.0012	3	Obuda pepper virus
0.0012	3	Acidobacterium sp. MP5ACTX8
0.0012	3	Hoeflea phototrophica DFL-43
0.0012	3	Capnocytophaga gingivalis ATCC 33624
0.0012	3	Arabidopsis lyrata subsp. lyrata
0.0012	3	Chaetomium globosum CBS 148.51
0.0012	3	Helicobacter canadensis MIT 98-5491
0.0012	3	Chlamydomonas reinhardtii
0.0012	3	Proteus mirabilis ATCC 29906
0.0012	3	Clostridium botulinum A2 str. Kyoto
0.0012	3	Verrucomicrobiae bacterium DG1235
0.0012	3	Pediococcus acidilactici 7_4
0.0012	3	Streptococcus pneumoniae 670-6B
0.0012	3	Yersinia intermedia ATCC 29909
0.0012	3	Xenorhabdus bovienii SS-2004
0.0012	3	Idiomarina baltica OS145
0.0012	3	Streptomyces sp. SPB74
0.0012	3	Escherichia coli B171
0.0012	3	Bacillus sp. m3-13
0.0012	3	Hydrogenobacter thermophilus TK-6
0.0012	3	Veillonella atypica ACS-049-V-Sch6
0.0012	3	Stenotrophomonas maltophilia K279a
0.0012	3	Limnobacter sp. MED105
0.0012	3	Saccoglossus kowalevskii
0.0012	3	Shewanella violacea DSS12
0.0012	3	Weissella paramesenteroides ATCC 33313
0.0012	3	Listeria marthii FSL S4-120
0.0012	3	Wolbachia endosymbiont of Drosophila melanogaster
0.0012	3	Corynebacterium diphtheriae NCTC 13129
0.0012	3	Ureaplasma parvum serovar 14 str. ATCC 33697
0.0012	3	Simonsiella muelleri ATCC 29453
0.0012	3	Synechococcus sp. PCC 7002
0.0012	3	Meiothermus ruber DSM 1279
0.0012	3	Bacillus cereus AH1272
0.0012	3	Brucella suis ATCC 23445
0.0012	3	Chloroflexus sp. Y-400-fl
0.0012	3	Streptococcus pneumoniae SP14-BS69
0.0012	3	Toxoplasma gondii ME49
0.0012	3	Methanosarcina barkeri str. Fusaro
0.0012	3	Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4
0.0012	3	Thermoanaerobacter wiegelii Rt8.B1
0.0012	3	Selaginella moellendorffii
0.0012	3	Vibrio sp. MED222
0.0012	3	Methanosaeta thermophila PT
0.0012	3	Actinobacillus pleuropneumoniae serovar 13 str. N273
0.0012	3	Dehalococcoides sp. GT
0.0012	3	Escherichia coli O55:H7 str. CB9615
0.0012	3	Thermoanaerobacter sp. X514
0.0012	3	Shewanella putrefaciens CN-32
0.0012	3	Macaca mulatta
0.0012	3	Dehalococcoides sp. VS
0.0012	3	Vibrio cholerae MJ-1236
0.0012	3	Fusobacterium sp. 3_1_33
0.0012	3	Geodermatophilus obscurus DSM 43160
0.0012	3	Roseomonas cervicalis ATCC 49957
0.0012	3	Escherichia coli FVEC1412
0.0012	3	Synechococcus elongatus PCC 7942
0.0012	3	Pseudomonas aeruginosa PA7
0.0008	2	Kordia algicida OT-1
0.0008	2	Lactobacillus iners LEAF 2052A-d
0.0008	2	Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480
0.0008	2	Lactobacillus oris PB013-T2-3
0.0008	2	Brucella abortus bv. 9 str. C68
0.0008	2	Brucella abortus NCTC 8038
0.0008	2	Arcobacter butzleri JV22
0.0008	2	Cronobacter turicensis z3032
0.0008	2	Lactobacillus paracasei subsp. paracasei ATCC 25302
0.0008	2	Talaromyces stipitatus ATCC 10500
0.0008	2	Botryotinia fuckeliana B05.10
0.0008	2	Scardovia inopinata F0304
0.0008	2	Fusobacterium sp. 3_1_36A2
0.0008	2	Helicobacter bilis ATCC 43879
0.0008	2	Streptococcus suis P1/7
0.0008	2	Mycobacterium phage Pacc40
0.0008	2	Streptococcus pneumoniae SP19-BS75
0.0008	2	Arthrospira maxima CS-328
0.0008	2	Mycobacterium tuberculosis T46
0.0008	2	Borrelia turicatae 91E135
0.0008	2	Wolbachia endosymbiont of Culex quinquefasciatus Pel
0.0008	2	Opitutaceae bacterium TAV2
0.0008	2	Borrelia burgdorferi Bol26
0.0008	2	Corynebacterium pseudogenitalium ATCC 33035
0.0008	2	Penicillium marneffei ATCC 18224
0.0008	2	cyanobacterium UCYN-A
0.0008	2	Escherichia coli CFT073
0.0008	2	Rhodobacteraceae bacterium KLH11
0.0008	2	Alicycliphilus denitrificans BC
0.0008	2	Prochlorococcus marinus str. MIT 9312
0.0008	2	Providencia rettgeri DSM 1131
0.0008	2	Stenotrophomonas maltophilia R551-3
0.0008	2	Helicobacter pylori P12
0.0008	2	Candidatus Phytoplasma australiense
0.0008	2	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
0.0008	2	Streptomyces flavogriseus ATCC 33331
0.0008	2	Sinorhizobium meliloti BL225C
0.0008	2	Methylotenera sp. 301
0.0008	2	Ochrobactrum intermedium LMG 3301
0.0008	2	Burkholderia sp. CCGE1001
0.0008	2	Klebsiella pneumoniae NTUH-K2044
0.0008	2	Entamoeba dispar SAW760
0.0008	2	Micromonas sp. RCC299
0.0008	2	Escherichia coli M605
0.0008	2	Prochlorococcus marinus str. MIT 9515
0.0008	2	Drosophila mojavensis
0.0008	2	Escherichia coli B185
0.0008	2	Thiomicrospira crunogena XCL-2
0.0008	2	Acinetobacter baumannii AYE
0.0008	2	Vibrio sp. RC341
0.0008	2	Actinomyces sp. oral taxon 180 str. F0310
0.0008	2	Bacillus cereus Rock3-29
0.0008	2	Leishmania infantum JPCM5
0.0008	2	Bacillus cereus 03BB108
0.0008	2	Bifidobacterium dentium JCVIHMP022
0.0008	2	Staphylococcus epidermidis BCM-HMP0060
0.0008	2	Vibrio metschnikovii CIP 69.14
0.0008	2	Stenotrophomonas sp. SKA14
0.0008	2	Psychrobacter arcticus 273-4
0.0008	2	Lactobacillus antri DSM 16041
0.0008	2	Clostridium difficile QCD-23m63
0.0008	2	Janibacter sp. HTCC2649
0.0008	2	Campylobacter jejuni subsp. jejuni NCTC 11168
0.0008	2	Podospora anserina S mat+
0.0008	2	Haemophilus somnus 2336
0.0008	2	Halobacterium salinarum R1
0.0008	2	Vibrio harveyi HY01
0.0008	2	Helicobacter cinaedi CCUG 18818
0.0008	2	Tetrahymena thermophila
0.0008	2	Neisseria meningitidis alpha14
0.0008	2	Fusobacterium sp. 2_1_31
0.0008	2	Streptomyces griseoflavus Tu4000
0.0008	2	Campylobacter jejuni subsp. doylei 269.97
0.0008	2	Burkholderia pseudomallei 91
0.0008	2	gamma proteobacterium HTCC2207
0.0008	2	Francisella novicida FTE
0.0008	2	Paenibacillus curdlanolyticus YK9
0.0008	2	Brucella melitensis bv. 1 str. Rev.1
0.0008	2	Burkholderia pseudomallei 9
0.0008	2	Neorickettsia risticii str. Illinois
0.0008	2	Bacillus pumilus ATCC 7061
0.0008	2	Rhizobium leguminosarum bv. trifolii WSM1325
0.0008	2	Methanobrevibacter smithii DSM 2374
0.0008	2	Oceanicaulis sp. HTCC2633
0.0008	2	Dickeya dadantii Ech586
0.0008	2	Phaeosphaeria nodorum SN15
0.0008	2	Lactobacillus gasseri 224-1
0.0008	2	Dinoroseobacter shibae DFL 12
0.0008	2	Burkholderia pseudomallei 1710a
0.0008	2	Maricaulis maris MCS10
0.0008	2	Lactococcus lactis
0.0008	2	Chlamydia trachomatis D(s)2923
0.0008	2	Frankia sp. EUN1f
0.0008	2	Helicobacter winghamensis ATCC BAA-430
0.0008	2	Thauera sp. MZ1T
0.0008	2	Vibrio furnissii CIP 102972
0.0008	2	Trypanosoma cruzi strain CL Brener
0.0008	2	Bartonella tribocorum CIP 105476
0.0008	2	Enterococcus faecalis
0.0008	2	Nitrobacter winogradskyi Nb-255
0.0008	2	Campylobacter coli JV20
0.0008	2	Haemophilus influenzae PittGG
0.0008	2	Plasmodium knowlesi strain H
0.0008	2	Enterococcus faecalis ATCC 4200
0.0008	2	Chlamydia trachomatis 70s
0.0008	2	Lactobacillus crispatus 125-2-CHN
0.0008	2	Streptococcus agalactiae H36B
0.0008	2	Fusobacterium periodonticum ATCC 33693
0.0008	2	Campylobacter jejuni RM1221
0.0008	2	Pseudomonas syringae pv. phaseolicola 1448A
0.0008	2	Shewanella sediminis HAW-EB3
0.0008	2	Lactobacillus helveticus DPC 4571
0.0008	2	Nautilia profundicola AmH
0.0008	2	Marinobacter sp. ELB17
0.0008	2	Photorhabdus asymbiotica
0.0008	2	Bifidobacterium catenulatum DSM 16992
0.0008	2	Gluconacetobacter hansenii ATCC 23769
0.0008	2	Oceanicola granulosus HTCC2516
0.0008	2	Enterococcus faecium E980
0.0008	2	Nicotiana tabacum
0.0008	2	Helicobacter pylori Shi470
0.0008	2	Staphylococcus aureus subsp. aureus WW2703/97
0.0008	2	Shewanella sp. MR-4
0.0008	2	Yersinia bercovieri ATCC 43970
0.0008	2	Burkholderia thailandensis Bt4
0.0008	2	Thermoplasma volcanium GSS1
0.0008	2	Xanthomonas albilineans
0.0008	2	Enterococcus faecalis TX0855
0.0008	2	Endoriftia persephone 'Hot96_1+Hot96_2'
0.0008	2	Escherichia coli MS 187-1
0.0008	2	Caulobacter crescentus CB15
0.0008	2	Streptococcus pyogenes M49 591
0.0008	2	Bacillus cereus Rock4-18
0.0008	2	Parascardovia denticolens F0305
0.0008	2	Haloferax volcanii DS2
0.0008	2	Burkholderia glumae BGR1
0.0008	2	Brevundimonas sp. BAL3
0.0008	2	Dickeya zeae Ech1591
0.0008	2	Bacillus cereus Rock3-42
0.0008	2	Methylotenera mobilis JLW8
0.0008	2	Anaerobaculum hydrogeniformans ATCC BAA-1850
0.0008	2	Aspergillus oryzae RIB40
0.0008	2	Thermofilum pendens Hrk 5
0.0008	2	Chlamydia muridarum MopnTet14
0.0008	2	Wolbachia endosymbiont of Drosophila ananassae
0.0008	2	Pseudomonas putida KT2440
0.0008	2	Pyrobaculum calidifontis JCM 11548
0.0008	2	Streptomyces griseus subsp. griseus NBRC 13350
0.0008	2	Bacillus cereus
0.0008	2	Clavibacter michiganensis subsp. sepedonicus
0.0008	2	Drosophila sechellia
0.0008	2	Burkholderia mallei PRL-20
0.0008	2	Yersinia pseudotuberculosis IP 32953
0.0008	2	Pseudomonas syringae pv. tomato str. DC3000
0.0008	2	Hyphomicrobium denitrificans ATCC 51888
0.0008	2	Legionella pneumophila str. Lens
0.0008	2	Comamonas testosteroni KF-1
0.0008	2	Bacillus sp. SG-1
0.0008	2	Mycobacterium sp. JLS
0.0008	2	Borrelia recurrentis A1
0.0008	2	Corynebacterium genitalium ATCC 33030
0.0008	2	Clostridium butyricum 5521
0.0008	2	Brucella suis 1330
0.0008	2	Francisella tularensis subsp. holarctica URFT1
0.0008	2	Coxiella burnetii CbuG_Q212
0.0008	2	Ferroglobus placidus DSM 10642
0.0008	2	Escherichia coli IAI39
0.0008	2	Orientia tsutsugamushi str. Boryong
0.0008	2	Brucella sp. BO1
0.0008	2	Burkholderia phymatum STM815
0.0008	2	Blattabacterium sp. (Blattella germanica) str. Bge
0.0008	2	Thiomonas intermedia K12
0.0008	2	Wolbachia sp. wRi
0.0008	2	Teredinibacter turnerae T7901
0.0008	2	Lysinibacillus fusiformis ZC1
0.0008	2	Thermobispora bispora DSM 43833
0.0008	2	Hydrogenivirga sp. 128-5-R1-1
0.0008	2	Desulfonatronospira thiodismutans ASO3-1
0.0008	2	Kocuria rhizophila DC2201
0.0008	2	Lactobacillus jensenii 208-1
0.0008	2	Fusobacterium sp. 3_1_5R
0.0008	2	Roseobacter sp. MED193
0.0008	2	Bacillus anthracis str. A1055
0.0008	2	Roseobacter sp. AzwK-3b
0.0008	2	Dehalococcoides sp. CBDB1
0.0008	2	Helicobacter felis ATCC 49179
0.0008	2	Gracilaria tenuistipitata var. liui
0.0008	2	Pseudomonas fluorescens WH6
0.0008	2	Escherichia coli TA143
0.0008	2	Xanthomonas campestris pv. campestris str. ATCC 33913
0.0008	2	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476
0.0008	2	Nitrobacter hamburgensis X14
0.0008	2	Candidatus Phytoplasma mali
0.0008	2	Moritella sp. PE36
0.0008	2	Francisella tularensis subsp. holarctica FSC200
0.0008	2	Sphingobium japonicum UT26S
0.0008	2	Methylovorus sp. MP688
0.0008	2	marine gamma proteobacterium HTCC2148
0.0008	2	Hyperthermus butylicus DSM 5456
0.0008	2	Schizophyllum commune H4-8
0.0008	2	Enterococcus faecium D344SRF
0.0008	2	Lactobacillus fermentum ATCC 14931
0.0008	2	Psychromonas sp. CNPT3
0.0008	2	Bacillus thuringiensis BMB171
0.0008	2	Ralstonia pickettii 12J
0.0004	1	Prochlorococcus marinus str. NATL1A
0.0004	1	Frankia sp. EuI1c
0.0004	1	Acinetobacter sp. DR1
0.0004	1	Staphylococcus epidermidis ATCC 12228
0.0004	1	Vibrio vulnificus CMCP6
0.0004	1	Chrysodidymus synuroideus
0.0004	1	Fusobacterium sp. D11
0.0004	1	Methanococcus voltae A3
0.0004	1	Cylindrospermopsis raciborskii CS-505
0.0004	1	Escherichia coli BW2952
0.0004	1	Burkholderia sp. Ch1-1
0.0004	1	Xanthomonas oryzae pv. oryzae MAFF 311018
0.0004	1	Staphylococcus aureus A8819
0.0004	1	Glaciecola sp. HTCC2999
0.0004	1	Escherichia coli MS 115-1
0.0004	1	Tobacco streak virus
0.0004	1	Yersinia ruckeri ATCC 29473
0.0004	1	Rhodococcus erythropolis SK121
0.0004	1	Staphylococcus aureus A9299
0.0004	1	Erwinia pyrifoliae Ep1/96
0.0004	1	Ailuropoda melanoleuca
0.0004	1	Francisella tularensis subsp. holarctica FSC022
0.0004	1	Shigella boydii Sb227
0.0004	1	Escherichia coli O103:H2 str. 12009
0.0004	1	Burkholderia mallei JHU
0.0004	1	Rhodococcus equi 103S
0.0004	1	Mobiluncus mulieris ATCC 35239
0.0004	1	Vibrio harveyi 1DA3
0.0004	1	Ureaplasma urealyticum serovar 13 str. ATCC 33698
0.0004	1	Burkholderia multivorans ATCC 17616
0.0004	1	Shewanella baltica OS183
0.0004	1	Vibrio cholerae 2740-80
0.0004	1	Salmonella enterica subsp. enterica serovar Typhi str. CT18
0.0004	1	Yersinia pestis CA88-4125
0.0004	1	Microcoleus chthonoplastes PCC 7420
0.0004	1	Clostridium phage phiC2
0.0004	1	Bacillus thuringiensis serovar sotto str. T04001
0.0004	1	Bermanella marisrubri
0.0004	1	Mycoplasma genitalium G37
0.0004	1	Micrococcus luteus NCTC 2665
0.0004	1	Polynucleobacter necessarius subsp. necessarius STIR1
0.0004	1	Streptomyces roseosporus NRRL 15998
0.0004	1	Prochlorococcus marinus str. MIT 9313
0.0004	1	Helicobacter pylori 98-10
0.0004	1	Alcanivorax sp. DG881
0.0004	1	Ureaplasma urealyticum serovar 11 str. ATCC 33695
0.0004	1	Pseudomonas putida W619
0.0004	1	Lactobacillus iners LactinV 09V1-c
0.0004	1	Streptococcus phage 5093
0.0004	1	Escherichia coli 2362-75
0.0004	1	Campylobacter jejuni subsp. jejuni 84-25
0.0004	1	Citromicrobium bathyomarinum JL354
0.0004	1	Pseudomonas aeruginosa UCBPP-PA14
0.0004	1	Schistosoma mansoni
0.0004	1	Rhizobium etli CIAT 652
0.0004	1	Burkholderia ubonensis Bu
0.0004	1	Synechococcus sp. PCC 7335
0.0004	1	Planctomyces maris DSM 8797
0.0004	1	Chloranthus spicatus
0.0004	1	Borrelia valaisiana VS116
0.0004	1	Listeria monocytogenes FSL J2-071
0.0004	1	Enhydrobacter aerosaccus SK60
0.0004	1	Cyanothece sp. PCC 8802
0.0004	1	Coprinopsis cinerea okayama7#130
0.0004	1	Citrobacter youngae ATCC 29220
0.0004	1	Nitrosococcus oceani ATCC 19707
0.0004	1	Staphylococcus aureus subsp. aureus ED98
0.0004	1	Malassezia globosa CBS 7966
0.0004	1	Clostridium botulinum A str. ATCC 19397
0.0004	1	Vanderwaltozyma polyspora DSM 70294
0.0004	1	Methylophaga thiooxidans DMS010
0.0004	1	Buxus microphylla
0.0004	1	Haemophilus parasuis 29755
0.0004	1	Saccharomonospora viridis DSM 43017
0.0004	1	Shewanella sp. ANA-3
0.0004	1	Pseudomonas putida
0.0004	1	Rothia mucilaginosa ATCC 25296
0.0004	1	gamma proteobacterium HTCC5015
0.0004	1	Halorhabdus utahensis DSM 12940
0.0004	1	Chlamydia phage CPAR39
0.0004	1	Francisella philomiragia subsp. philomiragia ATCC 25017
0.0004	1	Bacillus cereus Rock3-28
0.0004	1	Mycobacterium intracellulare ATCC 13950
0.0004	1	Ruegeria sp. R11
0.0004	1	Helicobacter pylori HPKX_438_AG0C1
0.0004	1	Drosophila yakuba
0.0004	1	Bacillus cereus 03BB102
0.0004	1	Lactobacillus buchneri ATCC 11577
0.0004	1	Mycoplasma synoviae 53
0.0004	1	Haloquadratum walsbyi DSM 16790
